",""lulc_class"""
"475,""8"""
"476,""8"""
"477,""8"""
"478,""8"""
"479,""8"""
"480,""1"""
"481,""9"""
"482,""9"""
"483,""8"""
"484,""8"""
"485,""9"""
"486,""5"""
"487,""9"""
"488,""9"""
"489,""9"""
"490,""9"""
"491,""10"""
"492,""9"""
"493,""9"""
"494,""9"""
"495,""4"""
"496,""9"""
"497,""9"""
"498,""9"""
"499,""5"""
"500,""9"""
"501,""3"""
"502,""9"""
"503,""9"""
"504,""7"""
"505,""9"""
"506,""7"""
"507,""7"""
"508,""9"""
"509,""9"""
"510,""9"""
"511,""4"""
"512,""1"""
"513,""9"""
"514,""2"""
"515,""6"""
"516,""9"""
"517,""9"""
"518,""9"""
"519,""9"""
"520,""9"""
"521,""9"""
"522,""9"""
"523,""3"""
"524,""9"""
"525,""9"""
"526,""9"""
"527,""8"""
"528,""9"""
"529,""9"""
"530,""3"""
"531,""7"""
"532,""9"""
"533,""9"""
"534,""9"""
"535,""10"""
"536,""7"""
"537,""10"""
"538,""8"""
"539,""1"""
"540,""10"""
"541,""1"""
"542,""10"""
"543,""10"""
"544,""10"""
"545,""10"""
"546,""10"""
"547,""10"""
"548,""10"""
"549,""10"""
"550,""10"""
"551,""7"""
"552,""10"""
"553,""6"""
"554,""9"""
"555,""10"""
"556,""10"""
"557,""10"""
"558,""10"""
"559,""10"""
"560,""1"""
"561,""6"""
"562,""6"""
"563,""8"""
"564,""8"""
"565,""10"""
"566,""10"""
"567,""2"""
"568,""10"""
"569,""5"""
"570,""10"""
"571,""10"""
"572,""10"""
"573,""10"""
"574,""10"""
"575,""2"""
"576,""3"""
"577,""10"""
"578,""10"""
"579,""6"""
"580,""10"""
"581,""4"""
"582,""10"""
"583,""10"""
"584,""10"""
"585,""10"""
"586,""6"""
"587,""10"""
"588,""1"""
"589,""8"""
"590,""8"""
"591,""10"""
"592,""10"""
"593,""10"""
"594,""10"""
"595,""10"""
"596,""10"""
"597,""10"""
"598,""10"""
"599,""10"""
"600,""10"""
